Id,Site,Longitude,Latitude
98320,Seattle,-122.92868,47.705616
98223,Seattle,-122.05288,48.203856
98272,Seattle,-121.93734,47.860245
98312,Seattle,-122.71293,47.564437
98580,Seattle,-123.9940,46.7064
98004,Seattle,-122.20308,47.618371
98053,Seattle,-122.03318,47.640972
98323,Seattle,-121.951,47.035525
98239,Seattle,-122.66723,48.204162
98252,Seattle,-121.82242,48.070852
90275,Los Angeles,-118.36338,33.7555
90277,Los Angeles,-118.3871,33.8322
90802,Los Angeles,-118.1942,33.7415
90745,Los Angeles,-118.2585,33.8232
90504,Los Angeles,-118.3287,33.8673
90220,Los Angeles,-118.2351,33.8804
90808,Los Angeles,-118.1064,33.8198
91316,Los Angeles,-118.5156,34.1583
90027,Los Angeles,-118.2936,34.1221
91754,Los Angeles,-118.1415,34.0472
11697,New York,-73.9095,40.5591
11229,New York,-73.9448,40.5988
10305,New York,-74.07539,40.59592
07064,New York,-74.2464,40.56865
11215,New York,-73.9801,40.6682
07042,New York,-74.2121,40.8219
10473,New York,-73.8595,40.8115
11030,New York,-73.68868,40.79293
10502,New York,-73.8409,41.01126
07470,New York,-74.2531,40.9411
33035,Miami,-80.3993,25.4309
33031,Miami,-80.4883,25.5305
33189,Miami,-80.3380,25.5734
33193,Miami,-80.46672,25.70175
33146,Miami,-80.2712,25.7213
33109,Miami,-80.1345,25.7560
33194,Miami,-80.6105,25.7144
33141,Miami,-80.1484,25.8536
33178,Miami,-80.4327,25.8434
33180,Miami,-80.1373,25.9581
