Id,nodeType,status,region,longitude,latitude,attacked
97359,controller,blue,NW,-122.457024,44.984465,false
97358,infrastructure,blue,NW,-122.53703,44.794701,false
97355,controller,yellow,NW,-122.85512,44.527304,false
97357,infrastructure,orange,NW,-123.81722,44.745464,false
24412,controller,orange,E,-79.84575,38.054111,false
24411,infrastructure,yellow,E,-79.322363,38.091705,false
97351,controller,yellow,NW,-123.18673,44.849012,false
24413,infrastructure,blue,E,-79.58361,38.521373,false
97350,controller,orange,NW,-122.07246,44.696507,false
24416,infrastructure,blue,E,-79.35038,37.74078,false
97352,controller,green,NW,-123.02553,44.736025,false
24415,infrastructure,green,E,-79.31644,37.929347,false
12438,controller,green,NE,-74.925617,42.183045,false
12439,infrastructure,green,NE,-74.22711,42.302596,false
85379,controller,green,SW,-112.40158,33.616888,false
12432,infrastructure,green,NE,-74.003246,41.949795,false
85377,controller,green,SW,-112.18717,33.276539,false
12433,infrastructure,green,NE,-74.15946,42.000093,false
85378,controller,green,SW,-112.18717,33.276539,false
12430,infrastructure,green,NE,-74.52154,42.183262,false
85375,controller,green,SW,-112.36474,33.683352,false
36401,infrastructure,green,SE,-86.96271,31.461019,false
85376,controller,green,SW,-112.18717,33.276539,false
12431,infrastructure,green,NE,-74.02471,42.361838,false
12436,controller,green,NE,-74.102319,42.19551,false
85373,infrastructure,green,SW,-112.28931,33.66156,false
85374,controller,green,SW,-112.38502,33.643508,false
12434,infrastructure,green,NE,-74.50137,42.368009,false
85371,controller,green,SW,-114.390171,34.031791,false
12435,infrastructure,green,NE,-74.52106,41.725808,false
85372,controller,green,SW,-112.18717,33.276539,false
97348,infrastructure,green,NW,-123.12153,44.381732,false
97347,controller,green,NW,-123.66311,45.060436,false
12440,infrastructure,green,NE,-74.14187,41.801696,false
97344,controller,green,NW,-123.44807,44.865209,false
24421,infrastructure,green,E,-79.17339,38.252683,false
97343,controller,green,NW,-123.76213,44.643659,false
97346,infrastructure,green,NW,-122.39736,44.754247,false
24422,controller,green,E,-79.79619,37.821088,false
97345,infrastructure,green,NW,-122.60034,44.407794,false
97342,controller,green,NW,-122.08703,44.727388,false
97341,infrastructure,green,NW,-124.05729,44.821446,false
24426,controller,green,E,-80.02705,37.772399,false
12449,infrastructure,green,NE,-73.99843,41.993639,false
85369,controller,green,SW,-114.074901,32.751632,false
12443,infrastructure,green,NE,-74.06797,41.92674,false
85366,controller,green,SW,-114.631172,32.609959,false
85367,infrastructure,green,SW,-114.40884,32.654701,false
12444,controller,green,NE,-74.27527,42.260634,false
12441,infrastructure,green,NE,-74.345684,41.878801,false
85364,controller,green,SW,-114.64644,32.704499,false
12442,infrastructure,green,NE,-74.23418,42.222061,false
85365,controller,green,SW,-114.52671,32.700018,false
12447,infrastructure,green,NE,-74.067014,42.039355,false
85362,controller,green,SW,-112.69667,34.286193,false
85363,infrastructure,green,SW,-112.30263,33.588225,false
12448,controller,green,NE,-74.1893,42.073259,false
85360,infrastructure,green,SW,-113.5935,34.681394,false
85361,controller,green,SW,-112.59778,33.739904,false
12446,infrastructure,green,NE,-74.30413,41.790385,false
85390,controller,green,SW,-112.76952,33.961122,false
97377,infrastructure,green,NW,-123.10916,44.46448,false
97376,controller,green,NW,-124.04512,44.505655,false
97378,infrastructure,green,NW,-123.40787,45.089532,false
97373,controller,green,NW,-122.457024,44.984465,false
97372,infrastructure,green,NW,-123.892016,44.659979,false
97375,controller,green,NW,-122.59658,45.004218,false
97374,infrastructure,green,NW,-122.81401,44.702164,false
12418,controller,green,NE,-74.15136,42.357579,false
12419,infrastructure,green,NE,-74.10605,41.852449,false
12416,controller,green,NE,-74.29143,42.105611,false
97371,infrastructure,green,NW,-123.20681,44.964115,false
97370,controller,green,NW,-123.43709,44.578526,false
12417,infrastructure,green,NE,-73.989254,41.907604,false
12410,controller,green,NE,-74.4557,42.114646,false
